"","sexo","rango_edad","cantidad","prop"
"1","Hombre","0 a 17",1218,0.02
"2","Hombre","18 a 26",9968,0.19
"3","Hombre","27 a 35",14631,0.28
"4","Hombre","36 a 44",10742,0.21
"5","Hombre","45 a 53",6337,0.12
"6","Hombre","54 a 62",3876,0.07
"7","Hombre","63 o más",2308,0.05
"8","Hombre","Desconocido",3343,0.06
"9","Mujer","0 a 17",366,0.03
"10","Mujer","18 a 26",2474,0.18
"11","Mujer","27 a 35",3461,0.25
"12","Mujer","36 a 44",2675,0.2
"13","Mujer","45 a 53",1695,0.12
"14","Mujer","54 a 62",1131,0.08
"15","Mujer","63 o más",629,0.05
"16","Mujer","Desconocido",1184,0.09
