"","location","month","mean"
"1","Death Valley","Jan",53.4516129032258
"2","Death Valley","Feb",59.9448275862069
"3","Death Valley","Mar",68.4483870967742
"4","Death Valley","Apr",76.2933333333333
"5","Death Valley","May",86.6064516129032
"6","Death Valley","Jun",95.5466666666667
"7","Death Valley","Jul",102.241935483871
"8","Death Valley","Aug",100.193548387097
"9","Death Valley","Sep",91.0533333333333
"10","Death Valley","Oct",77.1483870967742
"11","Death Valley","Nov",62.6033333333333
"12","Death Valley","Dec",51.7483870967742
"13","Houston","Jan",54.041935483871
"14","Houston","Feb",57.3413793103448
"15","Houston","Mar",63.3387096774194
"16","Houston","Apr",69.8566666666667
"17","Houston","May",77.0516129032258
"18","Houston","Jun",81.9966666666667
"19","Houston","Jul",83.7967741935484
"20","Houston","Aug",84.1451612903226
"21","Houston","Sep",80.06
"22","Houston","Oct",72.1483870967742
"23","Houston","Nov",63.15
"24","Houston","Dec",55.5967741935484
"25","San Diego","Jan",55.8451612903226
"26","San Diego","Feb",56.5172413793103
"27","San Diego","Mar",57.3516129032258
"28","San Diego","Apr",59.8933333333333
"29","San Diego","May",63.2
"30","San Diego","Jun",66.5433333333333
"31","San Diego","Jul",71.0483870967742
"32","San Diego","Aug",72.6032258064516
"33","San Diego","Sep",70.7466666666667
"34","San Diego","Oct",65.9129032258064
"35","San Diego","Nov",60.0033333333333
"36","San Diego","Dec",55.2
"37","Chicago","Jan",24.8483870967742
"38","Chicago","Feb",28.9068965517241
"39","Chicago","Mar",38.8483870967742
"40","Chicago","Apr",50.45
"41","Chicago","May",60.9
"42","Chicago","Jun",71.0066666666667
"43","Chicago","Jul",75.8451612903226
"44","Chicago","Aug",74.1483870967742
"45","Chicago","Sep",66.4033333333333
"46","Chicago","Oct",54.2516129032258
"47","Chicago","Nov",41.55
"48","Chicago","Dec",29
